Object,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W,LinVelocity X,LinVelocity Y,LinVelocity Z,AngVelocity X,AngVelocity Y,AngVelocity Z,Impact Force X,Impact Force Y,Impact Force Z,Impact Force Magnitude,Colliding Body,Time Stamp
Scoop,-1.091183,2.584307,0.1370746,-0.1726667,-0.6124216,-0.05949328,-0.7691472,0.2558552,1.560771,-1.268497,1.422653,-0.9450328,-0.4622382,0,0,0,0,,0.7121582
Scoop,-1.091183,2.584307,0.1370746,-0.1726667,-0.6124216,-0.05949328,-0.7691472,0.2558552,1.560771,-1.268497,1.422653,-0.9450328,-0.4622382,0,0,0,0,,0.7248535
Scoop,-1.093429,2.604793,0.1245827,-0.1819703,-0.58312,-0.07017002,-0.7886282,0.4735146,1.456156,-2.91254,1.208056,-3.573831,-0.3707036,0,0,0,0,,0.7346191
Scoop,-1.093429,2.604793,0.1245827,-0.1819703,-0.58312,-0.07017002,-0.7886282,0.4735146,1.456156,-2.91254,1.208056,-3.573831,-0.3707036,0,0,0,0,,0.746582
Scoop,-1.09315,2.625502,0.1081739,-0.1916072,-0.5816679,-0.07261418,-0.7871956,0.02248147,1.439125,-0.6450231,0.9390052,-0.008295298,-0.3873637,0,0,0,0,,0.7565918
Scoop,-1.09315,2.625502,0.1081739,-0.1916072,-0.5816679,-0.07261418,-0.7871956,0.02248147,1.439125,-0.6450231,0.9390052,-0.008295298,-0.3873637,0,0,0,0,,0.7678223
Scoop,-1.096883,2.644938,0.0930472,-0.2015671,-0.5757586,-0.0767327,-0.7886605,-0.009927975,1.4084,-0.9135423,1.038284,-0.5569249,-0.3789903,0,0,0,0,,0.7783203
Scoop,-1.102301,2.663941,0.07869524,-0.2044664,-0.5762323,-0.0777705,-0.7874656,-0.2745551,1.045836,-0.5757537,0.3087922,0.1072754,-0.06669903,0,0,0,0,,0.7907715
Scoop,-1.102301,2.663941,0.07869524,-0.2044664,-0.5762323,-0.0777705,-0.7874656,-0.2745551,1.045836,-0.5757537,0.3087922,0.1072754,-0.06669903,0,0,0,0,,0.8017578
Scoop,-1.110428,2.681284,0.06612474,-0.2108448,-0.570779,-0.08073805,-0.7894538,-0.252645,1.159535,-0.8548802,0.6748996,-0.5548341,-0.260858,0,0,0,0,,0.8117676
Scoop,-1.110428,2.681284,0.06612474,-0.2108448,-0.570779,-0.08073805,-0.7894538,-0.252645,1.159535,-0.8548802,0.6748996,-0.5548341,-0.260858,0,0,0,0,,0.8244629
Scoop,-1.120627,2.697511,0.05446202,-0.2168008,-0.566557,-0.08203654,-0.790747,-0.3642917,1.136061,-0.7191531,0.5510747,-0.3861781,-0.3370389,0,0,0,0,,0.8337402
Scoop,-1.120627,2.697511,0.05446202,-0.2168008,-0.566557,-0.08203654,-0.790747,-0.3642917,1.136061,-0.7191531,0.5510747,-0.3861781,-0.3370389,0,0,0,0,,0.8457031
Scoop,-1.132946,2.712696,0.04395109,-0.221966,-0.5628901,-0.08298494,-0.7918332,-0.4842635,1.049685,-0.6381859,0.4686643,-0.3294273,-0.3061998,0,0,0,0,,0.8562012
Scoop,-1.132946,2.712696,0.04395109,-0.221966,-0.5628901,-0.08298494,-0.7918332,-0.4842635,1.049685,-0.6381859,0.4686643,-0.3294273,-0.3061998,0,0,0,0,,0.8681641
Scoop,-1.147399,2.726788,0.03480595,-0.2266805,-0.559839,-0.08394874,-0.7925587,-0.6104812,0.959868,-0.5296944,0.4367501,-0.2644688,-0.2629685,0,0,0,0,,0.8786621
Scoop,-1.163374,2.739584,0.02706271,-0.2283768,-0.5600806,-0.0843289,-0.7918606,-0.7962134,0.7050785,-0.3011615,0.1695007,0.06394416,-0.05374756,0,0,0,0,,0.8913574
Scoop,-1.163374,2.739584,0.02706271,-0.2283768,-0.5600806,-0.0843289,-0.7918606,-0.7962134,0.7050785,-0.3011615,0.1695007,0.06394416,-0.05374756,0,0,0,0,,0.9023438
Scoop,-1.181506,2.750607,0.02132994,-0.2290038,-0.5596415,-0.08176287,-0.7922586,-0.8416923,0.7060433,-0.3079145,-0.09942789,0.007076178,-0.2518122,0,0,0,0,,0.9121094
Scoop,-1.181506,2.750607,0.02132994,-0.2290038,-0.5596415,-0.08176287,-0.7922586,-0.8416923,0.7060433,-0.3079145,-0.09942789,0.007076178,-0.2518122,0,0,0,0,,0.9255371
Scoop,-1.20184,2.76009,0.01743096,-0.2272069,-0.5597126,-0.07613117,-0.7932864,-0.9339342,0.6312847,-0.2784932,-0.4815342,0.06275219,-0.3525003,0,0,0,0,,0.9350586
Scoop,-1.20184,2.76009,0.01743096,-0.2272069,-0.5597126,-0.07613117,-0.7932864,-0.9339342,0.6312847,-0.2784932,-0.4815342,0.06275219,-0.3525003,0,0,0,0,,0.9470215
Scoop,-1.223854,2.768501,0.01481372,-0.22267,-0.5638912,-0.0721368,-0.7919859,-1.189852,0.2904958,0.03092507,-0.585659,0.460585,0.04160637,0,0,0,0,,0.9575195
Scoop,-1.223854,2.768501,0.01481372,-0.22267,-0.5638912,-0.0721368,-0.7919859,-1.189852,0.2904958,0.03092507,-0.585659,0.460585,0.04160637,0,0,0,0,,0.9692383
Scoop,-1.247611,2.775425,0.01424855,-0.2140209,-0.5701441,-0.06424595,-0.7905718,-1.30626,0.1426652,0.1464067,-1.143378,0.6885031,0.01189717,0,0,0,0,,0.9797363
Scoop,-1.272451,2.779893,0.01519424,-0.2096657,-0.5764966,-0.05763832,-0.787636,-1.339297,0.1882528,0.4039992,-0.6989218,0.7832116,-0.1194839,0,0,0,0,,0.9919434
Scoop,-1.272451,2.779893,0.01519424,-0.2096657,-0.5764966,-0.05763832,-0.787636,-1.339297,0.1882528,0.4039992,-0.6989218,0.7832116,-0.1194839,0,0,0,0,,1.003418
Scoop,-1.298856,2.781893,0.01340729,-0.1992308,-0.6076279,-0.03855538,-0.7678602,-1.825026,-0.04081988,2.211193,-1.687744,3.931208,-0.1352158,0,0,0,0,,1.013672
Scoop,-1.298856,2.781893,0.01340729,-0.1992308,-0.6076279,-0.03855538,-0.7678602,-1.825026,-0.04081988,2.211193,-1.687744,3.931208,-0.1352158,0,0,0,0,,1.0271
Scoop,-1.324198,2.783391,0.01953834,-0.1885592,-0.6135907,-0.03067348,-0.7661667,-1.466009,-0.2224929,0.4374968,-1.286941,0.6777956,0.165693,0,0,0,0,,1.037354
Scoop,-1.351678,2.781099,0.02761203,-0.1838913,-0.6173541,-0.02518016,-0.7644766,-1.411692,-0.1498714,0.5712081,-0.6741999,0.4821129,-0.05859579,0,0,0,0,,1.050293
Scoop,-1.351678,2.781099,0.02761203,-0.1838913,-0.6173541,-0.02518016,-0.7644766,-1.411692,-0.1498714,0.5712081,-0.6741999,0.4821129,-0.05859579,0,0,0,0,,1.0625
Scoop,-1.379616,2.77617,0.03575629,-0.1741062,-0.6342854,-0.01390602,-0.7531109,-1.623713,-0.4281536,1.627972,-1.277917,2.178361,0.08186637,0,0,0,0,,1.073975
Scoop,-1.379616,2.77617,0.03575629,-0.1741062,-0.6342854,-0.01390602,-0.7531109,-1.623713,-0.4281536,1.627972,-1.277917,2.178361,0.08186637,0,0,0,0,,1.085449
Scoop,-1.407852,2.768734,0.04814702,-0.1606407,-0.6462907,-0.003339097,-0.7459841,-1.61698,-0.7024375,1.311321,-1.576811,1.521983,0.27609,0,0,0,0,,1.100098
Scoop,-1.436381,2.757938,0.06486124,-0.1564155,-0.6463681,-0.002713263,-0.7468169,-1.486915,-0.7372621,0.7139643,-0.368752,-0.03811276,0.2266509,0,0,0,0,,1.112305
Scoop,-1.436381,2.757938,0.06486124,-0.1564155,-0.6463681,-0.002713263,-0.7468169,-1.486915,-0.7372621,0.7139643,-0.368752,-0.03811276,0.2266509,0,0,0,0,,1.125977
